"Data","BetaPuro","BetaBlume","RiskFree"
2004-01-02,0.00966817215702021,0.00811858138284349,0.000592221214901656
2004-01-05,0.0227309599115302,0.0167098161326826,0.000591194955632091
2004-01-06,0.0099492658015734,0.011937067613178,0.000590510666370392
2004-01-07,0.00319228604816413,0.00452276618735303,0.000588799419347197
2004-01-08,-0.0133905656745897,-0.019169126605893,0.000586402486078441
2004-01-09,0.00586614886988523,0.0060751075069958,0.000584689434617758
2004-01-12,-0.00413108989985,-0.0100572465129658,0.000582632899750024
2004-01-13,-0.00157687244131954,0.000209107290628729,0.000579546031076461
2004-01-14,-0.00341421560769284,0.000278766541510045,0.0005816041957587
2004-01-15,-0.012733874400674,-0.0134717020714786,0.000580575258936733
2004-01-16,0.0063069055522178,0.00683197333825691,0.000579546031076461
2004-01-19,0.00400475109712395,0.00338832985725923,0.000580232182983309
2004-01-20,0.0108369163025339,0.0112377994292847,0.000580232182983309
2004-01-21,-0.00613010888949928,-0.00481340625527304,0.000581261236220598
2004-01-22,0.00477564909160955,0.00857728159827986,0.000595298246480525
2004-01-23,0.00521661581857202,0.000746889052944288,0.000595298246480525
2004-01-26,0.00533592893288048,0.000358807653008553,0.00059598172083497
2004-01-27,0.00599686242882247,0.00873555449077257,0.000595639983657748
2004-01-28,-0.00667984394701571,-0.00513918890832343,0.000596323399804533
2004-01-29,-0.0190883511053923,-0.00808289618824964,0.000597348320297897
2004-01-30,-0.00141207338061389,0.00328597108934159,0.000596665078774095
2004-02-02,0.00685428159507007,0.00956617960647987,0.00059598172083497
2004-02-03,0.00739617406277127,0.00441016740546218,0.000595639983657748
2004-02-04,0.00180867382001249,0.00580215439991139,0.000595298246480525
2004-02-05,0.00230695592726593,0.00582730040864554,0.000594614655710757
2004-02-06,-0.000458921595137163,-0.00465875629376467,0.000594956451095641
2004-02-09,0.000740096904299881,0.000364771508347905,0.000594272860325873
2004-02-10,0.00586483794405357,0.00584590077932345,0.000593589094933122
2004-02-11,0.00588934921985218,0.000641768059979508,0.000593247124925256
2004-02-12,-0.00139568479903562,-0.00170657546115527,0.000592563184909523
2004-02-13,0.00393079555148423,0.00792412915436858,0.000593247124925256
2004-02-16,-0.0056557616763232,-0.00345641478985914,0.000592563184909523
2004-02-17,0.0148140701567305,0.0149499538207325,0.000592563184909523
2004-02-18,0.0147343845532668,0.0176473674536213,0.00059290521312505
2004-02-19,-0.00554452594746213,0.000846731155981884,0.000594956451095641
2004-02-20,-0.00424302559847245,-0.00640526614779657,0.000595639983657748
