"Data","Long","LS","Short"
2003-01-02,0.00657959510729755,-0.0253798491977684,0.0319594443050659
2003-01-03,-0.00432862729418437,-0.00681915889131235,0.00249053159712798
2003-01-06,0.00929463537865871,-0.0399740933773709,0.0492687287560296
2003-01-07,-0.0118045296691839,-0.00537628015955272,-0.00642824950963117
2003-01-08,-0.00642873580035164,-0.00223842310104672,-0.00419031269930492
2003-01-09,0.00720376078484919,-0.00248957672036321,0.0096933375052124
2003-01-10,0.00177310007586495,-0.0273831961186257,0.0291562961944907
2003-01-13,-0.00317569118369743,0.015417586069866,-0.0185932772535634
2003-01-14,-0.000828059398156222,-0.0129527880756566,0.0121247286775004
2003-01-15,0.0011341396505975,0.0212955262743177,-0.0201613866237202
2003-01-16,0.00868588045709529,0.00422770549828577,0.00445817495880951
2003-01-17,-0.00763551651096095,0.0227180728443149,-0.0303535893552759
2003-01-20,0.00452624488164743,0.00246375165608637,0.00206249322556107
2003-01-21,-0.00897664266469012,0.0159260164310532,-0.0249026590957433
2003-01-22,-0.00506795731512011,0.0229719482542879,-0.0280399055694081
2003-01-23,-0.00712770206872138,-0.00334870432125789,-0.00377899774746349
2003-01-24,-0.0112961661978036,0.0280032649005149,-0.0392994310983185
2003-01-27,-0.0142879695188833,0.0190788981119001,-0.0333668676307834
2003-01-28,-0.00121952325255381,-0.00310166111627153,0.00188213786371771
2003-01-29,0.00938817931039693,-0.0131004060483058,0.0224885853587027
2003-01-30,0.00373637338024979,0.0136133679064904,-0.00987699452624058
2003-01-31,0.0123596780744109,-0.00829788680370558,0.0206575648781164
2003-02-03,0.00156474561954401,0.00668665118542389,-0.00512190556587988
2003-02-04,-0.00734020407392044,0.0346835305822341,-0.0420237346561545
2003-02-05,0.00574111328505533,0.0125854336461172,-0.00684432036106186
2003-02-06,0.001879046449071,-0.00483138420120754,0.00671043065027854
2003-02-07,-0.00499831763331837,0.0209262284337677,-0.0259245460670861
2003-02-10,0.00436073613266452,0.00617107734748712,-0.0018103412148226
2003-02-11,0.00463520470475176,-0.000626346215384155,0.00526155092013592
2003-02-12,0.000354717191943132,0.0068830993737885,-0.00652838218184537
2003-02-13,-0.0187827238764424,0.0206231247494287,-0.0394058486258712
2003-02-14,8.23988866609504e-05,0.0025943827278081,-0.00251198384114715
2003-02-17,0.000742564498490417,-0.0101177378789079,0.0108603023773983
2003-02-18,0.00986603456305613,-0.0206720725099332,0.0305381070729893
2003-02-19,-0.00225260098452529,0.0149108177311462,-0.0171634187156715
2003-02-20,0.00437002347565985,0.000272549537940758,0.00409747393771909
2003-02-21,0.00852826150077979,-0.0028453936396482,0.011373655140428
2003-02-24,-0.00187733677529334,0.0081579030531822,-0.0100352398284755
2003-02-25,-0.00989631204027219,-0.015807482761951,0.00591117072167879
2003-02-26,-7.58573365584603e-05,0.0243355570221903,-0.0244114143587487
2003-02-27,0.0051245359510621,-0.0102788185689622,0.0154033545200243
2003-02-28,0.0127273137289856,0.00570925620323282,0.0070180575257528
2003-03-05,-0.00430646110493638,-0.0124214240100053,0.00811496290506897
2003-03-06,0.00170999715295372,-0.0291361423754215,0.0308461395283752
2003-03-07,0.00124307560252901,-0.0104515449709672,0.0116946205734962
2003-03-10,-0.0137778285731746,0.0305508518202153,-0.0443286803933899
2003-03-11,-0.00273168321650008,0.00518152065125321,-0.00791320386775329
2003-03-12,0.00140507771939102,-0.0167286744739779,0.0181337521933689
2003-03-13,0.00887908695483697,-0.0224865203393161,0.0313656072941531
2003-03-14,0.00483254703070757,0.0137296863631869,-0.00889713933247938
2003-03-17,0.00387154915442345,0.0036214241342043,0.00025012502021915
2003-03-18,0.00978877010728252,-0.0208372564226988,0.0306260265299814
2003-03-19,-0.00309701057048539,0.0227136555392055,-0.0258106661096908
2003-03-20,0.00888139442187486,0.00499034506325158,0.00389104935862328
2003-03-21,0.0103534753911987,-0.0218147571615004,0.0321682325526991
2003-03-24,-0.00543933145139686,0.0264002207123497,-0.0318395521637466
2003-03-25,0.003756050104611,-0.0240663654721698,0.0278224155767808
2003-03-26,0.00290187144193754,0.00335368449085349,-0.00045181304891595
2003-03-27,0.00180910231777198,-0.00149695986814335,0.00330606218591534
2003-03-28,-0.00075488608982921,-0.0248068424909162,0.024051956401087
2003-03-31,-0.00517158979173626,0.00304229374506215,-0.00821388353679842
2003-04-01,0.00789566352260285,-0.0229558034472983,0.0308514669699012
2003-04-02,0.0042784910196445,-0.0218780803265224,0.0261565713461669
2003-04-03,0.00378542649318936,-0.01597175333403,0.0197571798272194
2003-04-04,-0.00102000713608685,-0.00765769271095551,0.00663768557486866
2003-04-07,-0.00354383331681152,-0.0156240320271542,0.0120801987103427
2003-04-08,-0.00486896962422834,0.026796713626825,-0.0316656832510533
2003-04-09,0.00318629214692567,0.0172128791621312,-0.0140265870152055
2003-04-10,0.00323209918536138,0.01606303753141,-0.0128309383460486
2003-04-11,0.00269451126478781,-0.00838078208633553,0.0110752933511233
2003-04-14,0.00787998176269933,-0.0089694705727037,0.016849452335403
2003-04-15,0.00340660723375308,-0.0183826913557548,0.0217892985895078
2003-04-16,-0.00339277171952412,0.00428042346034785,-0.00767319517987197
2003-04-17,0.00444301928477553,-0.0413434884556982,0.0457865077404738
2003-04-22,-0.00446389243915624,-0.0141712997886767,0.00970740734952047
2003-04-23,0.00182661771829618,0.00457269276822692,-0.00274607504993074
2003-04-24,-0.00280131285419061,0.0239724876330513,-0.0267738004872419
2003-04-25,-0.00130003461260664,-0.00631805005360619,0.00501801544099956
