"Data","IBX_EW"
2003-01-02,0.0121830083428756
2003-01-03,-0.00164463112876256
2003-01-06,0.0272624293224211
2003-01-07,-0.00781243279880839
2003-01-08,-0.00476296603669324
2003-01-09,0.00625907971917883
2003-01-10,0.0168177849148101
2003-01-13,-0.00928511318476788
2003-01-14,0.0039451210571031
2003-01-15,-0.0101242380638379
2003-01-16,0.00422099825223254
2003-01-17,-0.0168676098387723
2003-01-20,-0.00156391070167239
2003-01-21,-0.0164933575193538
2003-01-22,-0.0152376048630679
2003-01-23,-0.000630130759936676
2003-01-24,-0.0261449757788514
2003-01-27,-0.0233774890961022
2003-01-28,-0.00310493871816697
2003-01-29,0.018702675730415
2003-01-30,-0.00679979417849519
2003-01-31,0.015789500410976
2003-02-03,-0.00167142872015746
2003-02-04,-0.0235674533643379
2003-02-05,0.0010189641600109
2003-02-06,0.00273598440176626
2003-02-07,-0.0129046009880519
2003-02-10,0.00168658341763628
2003-02-11,0.00411203927709836
2003-02-12,-0.000212267454083315
2003-02-13,-0.0288995246261042
2003-02-14,-0.00204519675480341
2003-02-17,0.00568316535635049
2003-02-18,0.0207540420746986
2003-02-19,-0.0128530338681704
2003-02-20,0.00208133638020969
2003-02-21,0.00687191282520083
2003-02-24,-0.00532960073356015
2003-02-25,-0.00307338846330207
2003-02-26,-0.0131565811026325
2003-02-27,0.0103262286754791
2003-02-28,0.0107089698492038
2003-03-05,0.00416076384675401
2003-03-06,0.0205884047986169
2003-03-07,0.00763533993684873
2003-03-10,-0.032383245895806
2003-03-11,-0.00241937012705007
2003-03-12,0.0129296868269735
2003-03-13,0.0199462961688348
2003-03-14,0.000502564640254555
2003-03-17,0.000319147934374264
2003-03-18,0.0220354473720024
2003-03-19,-0.0129680575388005
2003-03-20,0.00732910025720845
2003-03-21,0.0186272618012739
2003-03-24,-0.018551851501133
2003-03-25,0.0146155873256648
2003-03-26,0.0032174322993499
2003-03-27,0.00437087296185612
2003-03-28,0.0111221478688519
2003-03-31,-0.00647331308208321
2003-04-01,0.0212856616462309
2003-04-02,0.0178948541706483
2003-04-03,0.0131042481644426
2003-04-04,0.00460905871126172
2003-04-07,0.00137286227051492
2003-04-08,-0.0208189141170024
2003-04-09,-0.00293872420125618
2003-04-10,-0.00634945589304425
2003-04-11,0.00779973934391776
2003-04-14,0.0120839820547556
2003-04-15,0.0149724217956149
2003-04-16,-0.00381552569334309
2003-04-17,0.0227918342377262
2003-04-22,0.001765171510832
2003-04-23,-0.00303110064646639
2003-04-24,-0.0162896165376117
2003-04-25,0.00132816504665967
2003-04-28,0.0150721047586857
2003-04-29,0.013443133984369
2003-04-30,-0.00371577317917071
2003-05-02,0.0158763993101552
2003-05-05,0.00148826236485955
2003-05-06,-0.0112151770532628
2003-05-07,0.0231525430846458
2003-05-08,0.00194216572783912
2003-05-09,0.019975975915695
2003-05-12,0.0028769535094002
2003-05-13,-0.00175185201018213
2003-05-14,-0.00203729237870443
2003-05-15,-0.020539343197899
2003-05-16,0.00508536371246748
2003-05-19,-0.0254163571451064
2003-05-20,0.00191146133637488
2003-05-21,0.0158641275158109
2003-05-22,0.00269589001890891
2003-05-23,-0.00144650989223261
2003-05-26,-0.0143147953919014
2003-05-27,0.016632534315159
2003-05-28,0.00266767908722354
2003-05-29,0.00851115969621552
2003-05-30,0.00578839927194963
2003-06-02,-0.00480162483591495
2003-06-03,0.005924531779677
2003-06-04,0.0221007112215892
2003-06-05,0.00225209109413771
2003-06-06,0.0106434533037205
2003-06-09,-0.00251935393828862
2003-06-10,0.000175599654310687
2003-06-11,-0.00206217784596163
2003-06-12,0.00979462373071316
2003-06-13,-0.00722181219844376
2003-06-16,0.00648288412532394
2003-06-17,-0.0049873944757991
2003-06-18,-0.013031228999463
2003-06-20,-0.0156510385495797
2003-06-23,-0.00890881686094191
2003-06-24,0.00796165617865019
2003-06-25,-0.00614332037776932
2003-06-26,0.00283761060388765
2003-06-27,-0.00390978568171474
2003-06-30,0.00048147594848702
2003-07-01,0.0164134251557431
2003-07-02,0.00256806387494168
2003-07-03,-0.0083264208149022
2003-07-04,0.00965131338493697
2003-07-07,0.00554444860255043
2003-07-08,0.0133346764165381
2003-07-10,-0.00424878602503076
2003-07-11,-0.00786687266548658
2003-07-14,0.0113189198933346
2003-07-15,-0.00085889834001851
2003-07-16,-0.00555116470106098
2003-07-17,0.00525683430208224
2003-07-18,0.00579513858849912
2003-07-21,-0.00649411731631555
2003-07-22,0.00767992955668584
2003-07-23,-0.0022160465892137
2003-07-24,-0.000106608489650273
2003-07-25,0.00122264768961911
2003-07-28,-0.00478319323363086
2003-07-29,-0.00386639788351784
2003-07-30,-0.00688781697272978
2003-07-31,0.0062002141699955
2003-08-01,-0.0226647310672402
2003-08-04,-0.01016463167557
2003-08-05,0.00405728780455905
2003-08-06,-0.0113744383833696
2003-08-07,0.0238845342513923
2003-08-08,0.00645841339385211
2003-08-11,0.00848064956484063
2003-08-12,-0.0010883626442485
2003-08-13,0.0119741787936944
2003-08-14,0.0078034902790578
2003-08-15,0.00677978188564143
2003-08-18,0.0137554950459486
2003-08-19,0.00381456105187561
2003-08-20,0.0183035635231266
2003-08-21,0.0138751565462609
2003-08-22,0.000148646101116201
2003-08-25,0.000588061825352426
2003-08-26,0.0231930878772504
2003-08-27,0.0110165792115076
2003-08-28,-0.00363240830753009
2003-08-29,0.00425774895860354
2003-09-01,0.0127175907025683
2003-09-02,0.0100500653161519
2003-09-03,0.013142788053635
2003-09-04,0.00456819341830816
2003-09-05,0.0162395988347857
