"","D1","D2","D3"
"2003-01-02",0.00346095157669346,-0.00015256757990223,0.0299855566024361
"2003-01-03",-0.00153727791406288,-0.00222023775347591,-0.00114753631333919
"2003-01-06",0.0117153554206242,0.0254111154037902,0.0440473879256162
"2003-01-07",-0.0121175678810572,-0.00547833718194102,-0.00586608801080468
"2003-01-08",-0.00598180235027257,-0.00391848453513954,-0.00434298174995695
"2003-01-09",0.00670589329533544,-0.000834663526667834,0.0109633848673811
"2003-01-10",0.0025285606314096,0.0185070744108844,0.0286720117949331
"2003-01-13",-0.00496323536910059,-0.00636179751534116,-0.0159851147639958
"2003-01-14",0.000955395411961435,0.00027365600797058,0.0100734038325085
"2003-01-15",7.76655053427167e-05,-0.00871759091308955,-0.0206203301046937
"2003-01-16",0.00921178379407173,0.000669939608616499,0.00279352311406811
"2003-01-17",-0.0087274044147807,-0.0146881437728366,-0.0264930420117238
"2003-01-20",0.00297038041269082,-0.00804399477620688,0.000142192422149634
"2003-01-21",-0.0100776398599615,-0.0135741936454866,-0.0253973128262366
"2003-01-22",-0.00474931073342444,-0.0130446863672476,-0.0274646020707761
"2003-01-23",-0.00537832503472613,0.00398243869506199,-0.000206965558337879
"2003-01-24",-0.013002567734979,-0.0276388969716314,-0.0377591341428125
"2003-01-27",-0.0153433565094716,-0.0239042301708745,-0.0311866305645407
"2003-01-28",-0.00294287341275612,-0.00539319742663746,-0.00116915210640034
"2003-01-29",0.0105977207265833,0.0249031260779971,0.0211283110054241
"2003-01-30",0.0026716715561379,-0.0113768620185543,-0.0119803823931123
"2003-01-31",0.0138201927329296,0.0131130546059981,0.0204871029206757
"2003-02-03",0.000688521199726067,0.000187850353313923,-0.0060470014796643
"2003-02-04",-0.00990720531187328,-0.021902338343972,-0.0389440710508955
"2003-02-05",0.00610074533769445,0.00168863436826627,-0.00489597565279232
"2003-02-06",3.79473557199361e-06,0.00204730278780141,0.00635873969515099
"2003-02-07",-0.00561593856349984,-0.0112769093426009,-0.022172946103428
"2003-02-10",0.00437413947658793,0.000216181282093775,-0.000299725452337807
"2003-02-11",0.00351435545174184,0.00316000643354619,0.0056586933359668
"2003-02-12",0.00213544827800694,0.0041187363121149,-0.00704269346759312
"2003-02-13",-0.0176829358244444,-0.0308672854840202,-0.0389751511174743
"2003-02-14",-0.000465839579808502,-0.00537905147191498,-0.000216524992423417
"2003-02-17",0.00141792440758004,0.0065296176845846,0.00946459756537932
"2003-02-18",0.00833505546206625,0.0264412087572872,0.0286536819810308
"2003-02-19",-0.00241409029679907,-0.0206638424360609,-0.0162168524579092
"2003-02-20",0.00435587882909383,-0.00159502414465895,0.00331371531402946
"2003-02-21",0.00770569766711104,0.00279893202029591,0.0102217129892448
"2003-02-24",-0.00160017582189376,-0.00708192207247738,-0.00772561924910575
"2003-02-25",-0.00990033583710481,-0.00628826894286316,0.00749000894765905
"2003-02-26",-0.00162012861016791,-0.0147028798863995,-0.0240635023238692
"2003-02-27",0.006209664948857,0.0119105669629243,0.0133236457909283
"2003-02-28",0.0110141606023604,0.0133777674001798,0.00766915932675749
"2003-03-05",-0.00425057754785263,0.00762081909565948,0.00932479215576665
"2003-03-06",0.00247023579186978,0.0293344416982493,0.0298890860253511
"2003-03-07",-0.0006617924130915,0.00875537053828856,0.0127230018164188
"2003-03-10",-0.0137429274604812,-0.0391276527946351,-0.0435042813606868
"2003-03-11",-0.000912371917689891,0.00174523546361227,-0.0079960616838487
"2003-03-12",0.00759724109352633,0.0148629422155264,0.0163411523806962
"2003-03-13",0.00907531840002629,0.0174482795872779,0.0331893067403499
"2003-03-14",0.00245404433432772,0.00528978653258516,-0.00607165449855807
"2003-03-17",0.0025312589896882,-0.00131696762441447,-0.0026533888793876
"2003-03-18",0.0131841822287828,0.0255846762269116,0.0271687032776322
"2003-03-19",-0.00179916682723991,-0.0110120450206782,-0.0261808730100538
"2003-03-20",0.00601042814335706,0.0104582223186123,0.0052235635330935
"2003-03-21",0.00902356918960856,0.0169276643945555,0.029932739697941
"2003-03-24",-0.0058399707868777,-0.0173659867966246,-0.0320135697390004
"2003-03-25",0.00539387753164822,0.0120424697557462,0.0260668479248198
"2003-03-26",0.00567719803273836,0.00352689277110185,0.00047776716182768
"2003-03-27",0.00203975164793868,0.00700111000484083,0.00401390886394748
"2003-03-28",-0.000872569654294719,0.00813468898487368,0.0234982325333521
"2003-03-31",-0.00504408488988317,-0.00703232655657382,-0.00736199037260732
"2003-04-01",0.00779156031985706,0.020736791321025,0.0345741793720231
"2003-04-02",0.00760697927941112,0.0204706789468332,0.0255112205836172
"2003-04-03",0.00653795376476629,0.0108955961317796,0.0215195197059317
"2003-04-04",-0.00216302127672696,0.0071218410759426,0.00859058035818738
"2003-04-07",-0.0069931075435743,0.000318963223062019,0.010041906532805
"2003-04-08",-0.00633979416342245,-0.0229859285119189,-0.0319615182514005
"2003-04-09",0.00154931200549813,0.00473084581288652,-0.0144095683260169
"2003-04-10",0.00478825191549559,-0.0098063481319266,-0.013754219632598
"2003-04-11",0.00329175372458934,0.00838963900957745,0.0116936893565083
"2003-04-14",0.00878229190744984,0.00980379904062434,0.0173011545760453
"2003-04-15",0.00851385156936924,0.0143701360722148,0.0213849260152987
"2003-04-16",-0.00379543550974804,0.00144186564106374,-0.00941866685027282
"2003-04-17",0.00473515784687351,0.018198473905024,0.0434309344537851
"2003-04-22",-0.00457480983457514,0.000690562315105669,0.00857821307614448
"2003-04-23",-0.00095915158114146,-0.00677136081026197,-0.00138620198037898
